Tweet_count,Username,Text,Created At,Retweets,Likes
33,Cristian C.Z,#Jueves 📡🛰️🔮👉⛈️ #Pronósticos #Forecast de #Lluvias #Meteorologico en #BahiaBlanca #MardelPlata #BuenosAires #LaPampa #Córdoba #SantaFé #RioNegro #EntreRios #Corrientes #SanLuis #Mendoza #Chaco #Argentina #Uruguay https://t.co/WR0QRJ11Nf,Thu Sep 19 15:53:27 +0000 2024,2,5
34,Armando Alvarez,"La #TormentaTropical Iliana está a 265 kms. al oeste de Cabo Corrientes, Jalisco y 320 al sur-sureste de Cabo San Lucas.

Sus bandas nubosas provocarán #lluvias intensas, descargas eléctricas, granizadas oleaje elevado en Colima, Jalisco, Nayarit, Sinaloa y Baja California Sur. https://t.co/OL0xgxsJPj",Fri Sep 13 01:03:39 +0000 2024,1,2
35,Katedra,"De corrientes oceánicas y submarinos amarillos hablará @arubio_ocean en #NaukasPro24

https://t.co/usgy6xtI0C https://t.co/zDXcy9oE6Y",Mon Sep 16 15:15:29 +0000 2024,0,2
36,El Mitotero,"Ileana es tormenta tropical; se antiene alerta meteorológica en Sonora

A las 15:00 horas de hoy, se ha formado la tormenta tropical Ileana a partir de la depresión tropical Nueve-E. 

Su centro se localiza a 250 kilometros (km) al oeste-suroeste de Cabo Corrientes, Jalisco y a https://t.co/g9KgSWxkcy",Thu Sep 12 22:16:28 +0000 2024,2,6
37,FeguifutOfficial,"La delegación que compone la selección Nzalang sub 20 ha salido en la jornada de este jueves 19 de los corrientes rumbo a Congo Brazzaville donde disputará partidos de la copa UNIFAC edición 2024.
Los 23 jugadores más el cuadro técnico. https://t.co/fqrJ88V9k9",Thu Sep 19 15:40:09 +0000 2024,0,5
38,Fernando FG,"Se estima que, de no existir el bloqueo, el PIB de #Cuba a precios corrientes pudo haber crecido alrededor de un 8 % en 2023. https://t.co/oLoCs1Bs4l",Fri Sep 13 09:57:09 +0000 2024,12,10
39,alejociganotto02,"Templo de san la muerte en corrientes, sale promesa por Racing campeon? https://t.co/UVCkIdfnda",Wed Sep 11 22:09:46 +0000 2024,0,15
40,Genetico Metalero,"#YaCasiVenezuela
Jorge Rodríguez lo pidió y el congreso español se lo quiere dar con gustó, le congelarán todas las cuentas corrientes, activos líquidos , les confiscarán negocios, casas, autos y los expulsaran de españa, hay enchufados y familiares del régimen . https://t.co/RtAZo6FZKW",Fri Sep 13 22:57:38 +0000 2024,3687,9155
41,Partido Piquetero Corrientes,"3 meses sin novedades de Loan Peña.
Ayer se marchó en Ctes junto a Gustavo Vera, presidente de la Fundación La Alameda, querellante en la denuncia penal contra el gobernador Gustavo Valdés y funcionarios como el senador provincial Diego Pellegrini, continúa 
#DondeEstaLoan #loan https://t.co/PXcZiLkIyF",Sat Sep 14 22:53:10 +0000 2024,6,10
42,Cristian C.Z,#Lluvias sept a dic 2024 #Climático #Meteorologico en #BahiaBlanca #MardelPlata #BuenosAires #LaPampa #Córdoba #SantaFé #RioNegro #EntreRios #Corrientes #SanLuis #Mendoza #Chaco #Argentina #Uruguay zona centro https://t.co/KAT7Dz8OWi,Thu Sep 12 23:43:53 +0000 2024,3,6
43,Richard Chorrombi,"Los vecinos del barrio 17 de agosto de la ciudad de #Corrientes estamos esperando la obra fantasma de  63 millones de pesos de las calles Trento y Verona. 

Obra que anunció en el último cierre de campaña Gustavo Valdés, gobernador radical.
 
El cartel dice 8 meses de obra.. https://t.co/dgYUXFgYfE",Tue Sep 17 20:54:28 +0000 2024,4,15
44,ALAL,"Se realizó en Mar del Plata la jornada por los 50 años de la Ley de Contrato de Trabajo de Argentina. Destacamos el panel integrado por dirigentes sindicales de distintas centrales y corrientes, demostrando la potencialidad de la unidad en defensa de los derechos sociales https://t.co/7AvWqLR6BM",Tue Sep 17 18:02:32 +0000 2024,7,8
45,María  A.,"Montevideo casi Corrientes CABA 
#TrabajoAr https://t.co/eGNwN3WSCU",Mon Sep 16 20:43:03 +0000 2024,6,4
46,Fundación Poder Ciudadano,"¡EVENTO CÍRCULOS VIRTUOSOS y la AHK! ""Conversaciones para la Integridad Corporativa &amp; Compliance Night Cocktail”

📆26/09 de 17.00 a 20.30 hs

📍 Av. Corrientes 327, p. 23, CABA

📎 Para más info e inscripciones: https://t.co/G7kbcWV27D https://t.co/Ai0iy8VYlQ",Thu Sep 19 21:01:43 +0000 2024,2,2
47,Noelito Noel,"De de no existir el bloqueo, el PIB de Cuba a precios corrientes pudo haber crecido alrededor de un 8% en 2023.
#TumbaElBloqueo
#MejorSinBloqueo
#Matanzas
#MatancerosEnVictoria https://t.co/YZMLqOJ8YI",Thu Sep 12 16:26:29 +0000 2024,2,3
48,Holograma David Brownie con ClonaeseCan,"""Al presiduende le gustan rubias y tetonas""

Puede ser una biografía, reunión de LLA o una obra de calle Corrientes con Nito Artaza y Cherutti https://t.co/18cBTQYgLQ",Tue Sep 17 17:30:27 +0000 2024,0,5
49,Alma Camila,"Se estima que, de no existir bloqueo, PIB de Cuba a precios corrientes pudo haber crecido alrededor de 8 % en 2023.

Los retos actuales de la realidad cubana tendrían mejor y más fácil solución si Cuba pudiera disponer de cuantiosos recursos q bloqueo le priva.

#TumbaElBloqueo https://t.co/lzX26h5trz",Thu Sep 12 18:17:13 +0000 2024,16,15
50,FelliniA Cine,"Desencuentro un espectáculo de tango, humor y baile con dirección Musical y Piano de Federico Mizrahi , dramaturgia y actuación de Bárbara Hueza. 25/10,21.30hs Cuarta Pared, Independencia 425, San Pedro+ 1/11, 19.45hs Teatro Multiescena, Av Corrientes 1764, CABA. @andyfeiguin https://t.co/ZZ58GfPSDq",Wed Sep 11 22:08:22 +0000 2024,1,2
51,Cristian C.Z,"#Jueves 📡🛰️🔮👉⛈️ #Pronósticos #Forecast de #Lluvias #Climático #Meteorologico en #BahiaBlanca #MardelPlata #BuenosAires #LaPampa #Córdoba #SantaFé #RioNegro #EntreRios #Corrientes #SanLuis #Mendoza #Chaco #Argentina #Uruguay zona centro, norte y sur https://t.co/tfunHl3E2h",Thu Sep 19 15:48:04 +0000 2024,1,2
52,Cassie Fernetera,POV: saliste a ver tu patio en Corrientes https://t.co/WrwWgYwOB7,Wed Sep 18 21:59:20 +0000 2024,0,7
53,Nicolas Schamne,"Se llama Federico Tournier, Diputado de la UCR Corrientes, responde a Valdes sospechado por la desaparición de Loan, es otro de los radicales que votará contra los jubilados a cambio de favores $$$.
Que todo el mundo conozca la cara de este corrupto, dale RETUIT https://t.co/Ds45AftOAE",Wed Sep 11 01:49:57 +0000 2024,1,4
54,CMP tiempo,"3:30 pm Pacífico | ⛈Tormentas en México
🔺Esta tarde se desarrollan tormentas fuertes en Nayarit (San Blas, Compostela, Bahía de Banderas y avanzan a Santiago), Jalisco (Cabo Corrientes, sierra, norte y altos), Querétaro (sur) y Campeche (norte y oriente). https://t.co/1IwRlLQGn5",Wed Sep 11 22:34:36 +0000 2024,2,12
55,Jorge Alarcón,"El triángulo en Corrientes domina todo, a tal punto que capto a la familia.
""DEVUELVAN A LOAN"" https://t.co/Tt64YFGGJd",Mon Sep 16 19:06:30 +0000 2024,62,142
56,Pablito de Mardel !,"Hola @gmontenegro_ok  estoy en CABA y esto está en el kiosco de diarios de Corrientes y Callao, que me contás ? https://t.co/SxtX0HrGnO",Fri Sep 13 12:54:26 +0000 2024,0,2
