Tweet_count,Username,Text,Created At,Retweets,Likes,Location
52,Johnny Midnight ⚡️,"Of Course she wants to Legalize Prostitution, it paid well for her, Willie Bought her an Expensive BMW. https://t.co/cK3bI83SDO",Tue Sep 24 23:59:58 +0000 2024,295,534,
53,Ian 🇨🇦,Any truth here? https://t.co/NAZcxZ2V9d,Tue Sep 24 23:53:58 +0000 2024,43,633,
54,Food Porn,Buffalo Wings 🍗 https://t.co/hHKChRnf65,Tue Sep 24 23:59:03 +0000 2024,116,757,
55,Gunther Eagleman™,I stand with Alex Jones…!  They just want him silenced.,Tue Sep 24 23:53:54 +0000 2024,1309,6598,
56,Weffrey Jellington,Woke up to drink some water and realized the people who were peacefully protesting to help me continue this simple privilege and stop our water bodies from being polluted have been arrested and denied bail. #FreeTheCitizens,Tue Sep 24 23:49:26 +0000 2024,782,841,
57,March 8th ❤,"Ok I don’t wanna date nobody nomore , life whooping my ass , dating ain’t helping shit , I need to focus , bye 😭😭😭",Tue Sep 24 23:57:19 +0000 2024,3267,12891,
58,Annie,He’s a clueless idiot! https://t.co/kNUmYWUIub,Tue Sep 24 23:56:39 +0000 2024,407,1236,
59,Proud Elephant 🇺🇸🦅,What do they all have in common? https://t.co/jOw0PnOlOd,Tue Sep 24 23:58:01 +0000 2024,36,90,
60,Spotify Daily Data,"‘143’ by @katyperry earned 3.99 million streams on its 4th day on Spotify.

Up 7.8%. https://t.co/FegGPygGhO",Tue Sep 24 23:49:48 +0000 2024,103,1946,
61,Kathleen Winchell ❤️🤍💙🇺🇸🇺🇸,"These 2
Commies would surely do that! 🤬 https://t.co/GVCD1dbJ1X",Tue Sep 24 23:57:39 +0000 2024,38,73,
62,Onyeka Chigbo,"Please vote for this hardworking lady that gives her all in task and doesn’t relent 🙏

#OnyekaChigbo #BBNaija https://t.co/dij2u0DTX8",Tue Sep 24 23:59:19 +0000 2024,198,1396,
63,THRONE AND LIBERTY,"Unfortunately, due to network configuration difficulties with our event environment, we will not be able to complete the rest of Siege the Day as planned. 

We are working to resolve these issues and will be coming back tomorrow. Thank you again for your patience and support. https://t.co/3U9Z6Vlnsg",Tue Sep 24 23:51:14 +0000 2024,21,312,
64,D 𑁍ࠬܓ,the way haechan is getting more and more attractive in each soundcheck https://t.co/VsxaP5kgpG,Tue Sep 24 23:52:31 +0000 2024,2866,12074,
65,PLT,OVERRIDE!! https://t.co/LQjQc8HV4i,Tue Sep 24 23:52:04 +0000 2024,1480,15632,
66,Red Riding Hood,Fuck fire ants! That is all.,Tue Sep 24 23:53:10 +0000 2024,6,189,
